time,magnitude
264549.1144,1
264579.3679,1
264592.1962,1
264621.6357,1
264635.0717,1
264641.3974,1
264670.6857,1
264683.6781,1
264695.9179,1
264701.234,1
264705.9043,1
264729.0712,1
264744.5198,1
264807.1416,1
264833.2995,1
264857.0535,1
264874.413,1
264882.7577,1
264891.3226,1
264901.1822,1
264916.0224,1
264916.0648,1
264942.3527,1
265027.9399,1
265049.2587,1
265051.0869,1
265061.8506,1
265081.6503,1
265105.6278,1
265127.5887,1
265139.1834,1
265156.3316,1
265163.5759,1
265172.5733,1
265190.1472,1
265208.9216,1
265217.1008,1
265221.5682,1
265235.2543,1
265247.7589,1
265254.9408,1
265255.2074,1
265260.5526,1
265261.8586,1
265269.042,1
265274.9516,1
265279.9868,1
265313.7781,1
265321.8521,1
265326.5684,1
265340.6511,1
265357.3619,1
265376.5149,1
265399.9213,1
265402.6109,1
265409.8758,1
265472.1483,1
265489.3018,1
265516.4668,1
265524.8454,1
265535.1385,1
265575.9758,1
265576.7432,1
265609.7984,1
265614.487,1
265646.2052,1
265669.0993,1
265691.5927,1
265702.5668,1
265718.3707,1
265750.5405,1
265758.1048,1
265767.2447,1
265796.3659,1
265838.4188,1
265860.0625,1
265865.8765,1
265875.6913,1
265889.0673,1
265903.6794,1
265916.8579,1
265926.9996,1
265941.9409,1
265959.6669,1
265971.7669,1
265977.088,1
266038.8835,1
266116.0795,1
266139.0739,1
266204.0007,1
266211.8312,1
