cvr,agg5,agg10,agg20,diff1,diff2,diff3,diff4
0.11111,0.11964,0.12147,0.12077,-0.0073558,0.0042586,0.025954,0.05625
0.15564,0.12705,0.12754,0.12403,0.044531,0.051887,0.047628,0.021674
0.12453,0.12705,0.12754,0.12403,-0.031114,-0.075645,-0.12753,-0.17516
0.094891,0.12705,0.12754,0.12403,-0.029638,0.0014759,0.077121,0.20465
0.11896,0.12705,0.12754,0.12403,0.024069,0.053706,0.05223,-0.02489
0.14122,0.12705,0.12754,0.12403,0.022262,-0.0018063,-0.055513,-0.10774
0.097959,0.12804,0.12754,0.12403,-0.043262,-0.065524,-0.063718,-0.0082054
0.16129,0.12804,0.12754,0.12403,0.063331,0.10659,0.17212,0.23584
0.13095,0.12804,0.12754,0.12403,-0.030338,-0.093669,-0.20026,-0.37238
0.12364,0.12804,0.12754,0.12403,-0.007316,0.023022,0.11669,0.31695
0.12635,0.12804,0.12754,0.12403,0.0027174,0.010033,-0.012988,-0.12968
0.12132,0.1167,0.12051,0.12403,-0.0050303,-0.0077477,-0.017781,-0.0047927
0.10561,0.1167,0.12051,0.12403,-0.015713,-0.010683,-0.002935,0.014846
0.13879,0.1167,0.12051,0.12403,0.033179,0.048892,0.059575,0.06251
0.11273,0.1167,0.12051,0.12403,-0.026063,-0.059242,-0.10813,-0.16771
0.10507,0.1167,0.12051,0.12403,-0.0076548,0.018408,0.07765,0.18578
0.11152,0.12432,0.12051,0.12403,0.0064517,0.014107,-0.0043014,-0.081952
0.090535,0.12432,0.12051,0.12403,-0.020989,-0.027441,-0.041547,-0.037246
0.16016,0.12432,0.12051,0.12403,0.069621,0.09061,0.11805,0.1596
0.12879,0.12432,0.12051,0.12403,-0.031368,-0.10099,-0.1916,-0.30965
0.1306,0.12432,0.12051,0.12403,0.0018091,0.033178,0.13417,0.32577
0.12261,0.15974,0.13842,0.14057,-0.0079917,-0.0098008,-0.042978,-0.17715
0.18533,0.15974,0.13842,0.14057,0.062723,0.070714,0.080515,0.12349
0.16183,0.15974,0.13842,0.14057,-0.023502,-0.086225,-0.15694,-0.23746
0.16794,0.15974,0.13842,0.14057,0.0061132,0.029616,0.11584,0.27278
0.16102,0.15974,0.13842,0.14057,-0.006922,-0.013035,-0.042651,-0.15849
0.14179,0.1171,0.13842,0.14057,-0.019226,-0.012304,0.00073127,0.043382
0.11885,0.1171,0.13842,0.14057,-0.022939,-0.0037127,0.0085912,0.00786
0.10965,0.1171,0.13842,0.14057,-0.0092033,0.013735,0.017448,0.0088567
0.10938,0.1171,0.13842,0.14057,-0.00027412,0.0089292,-0.004806,-0.022254
0.10584,0.1171,0.13842,0.14057,-0.0035356,-0.0032615,-0.012191,-0.0073846
0.17105,0.14138,0.14272,0.14057,0.065213,0.068749,0.07201,0.084201
0.13386,0.14138,0.14272,0.14057,-0.037194,-0.10241,-0.17116,-0.24317
0.094545,0.14138,0.14272,0.14057,-0.039313,-0.0021184,0.10029,0.27145
0.15504,0.14138,0.14272,0.14057,0.060493,0.099806,0.10192,0.0016354
0.15242,0.14138,0.14272,0.14057,-0.0026224,-0.063116,-0.16292,-0.26485
0.16387,0.14405,0.14272,0.14057,0.011449,0.014072,0.077187,0.24011
0.12851,0.14405,0.14272,0.14057,-0.035351,-0.046801,-0.060872,-0.13806
